NAME                    VERSION           TYPE                        
7zip                    24.09-r0          apk                          
Simple Launcher         1.1.0.14          binary      (+5 duplicates)  
acl-libs                2.3.2-r1          apk                          
alpine-baselayout       3.7.0-r0          apk                          
alpine-baselayout-data  3.7.0-r0          apk                          
alpine-keys             2.5-r0            apk                          
alpine-release          3.22.2-r0         apk                          
alsa-lib                1.2.14-r0         apk                          
annotated-types         0.7.0             python                       
anstream                0.6.8             rust-crate                   
anstyle                 1.0.4             rust-crate                   
anstyle-parse           0.2.3             rust-crate                   
anstyle-query           1.0.2             rust-crate                   
anyhow                  1.0.79            rust-crate                   
anyhow                  1.0.98            rust-crate                   
aom-libs                3.12.1-r0         apk                          
apk-tools               2.14.9-r3         apk                          
arg_enum_proc_macro     0.3.4             rust-crate                   
arrayvec                0.7.4             rust-crate                   
autocommand             2.2.2             python                       
av-metrics              0.9.1             rust-crate                   
av1-grain               0.2.3             rust-crate                   
babel                   2.17.0            python                       
backports-tarfile       1.2.0             python                       
backports-zstd          1.0.0             python                       
bash                    5.2.37-r0         apk                          
bitflags                2.4.1             rust-crate                   
bitmath                 1.3.3.1           python                       
bitstream-io            2.2.0             rust-crate                   
bitstream-io            2.6.0             rust-crate                   
bitvec                  1.0.1             rust-crate                   
bitvec_helpers          3.1.6             rust-crate                   
blinker                 1.9.0             python                       
brotli                  1.1.0             python                       
brotli-libs             1.1.0-r2          apk                          
busybox                 1.37.0-r19        apk                          
busybox-binsh           1.37.0-r19        apk                          
c-ares                  1.34.5-r0         apk                          
ca-certificates         20250911-r0       apk                          
ca-certificates-bundle  20250911-r0       apk                          
cachelib                0.13.0            python                       
cairo                   1.18.4-r0         apk                          
catatonit               0.2.1-r0          apk                          
certifi                 2025.10.5         python                       
cffi                    2.0.0             python                       
cfg-if                  1.0.0             rust-crate                   
cheroot                 11.0.0            python                       
cjson                   1.7.18-r1         apk                          
clap                    4.4.14            rust-crate                   
clap_builder            4.4.14            rust-crate                   
clap_complete           4.4.6             rust-crate                   
clap_derive             4.4.7             rust-crate                   
clap_lex                0.6.0             rust-crate                   
cli                     UNKNOWN           binary                       
cli-32                  UNKNOWN           binary                       
cli-64                  UNKNOWN           binary                       
cli-arm64               UNKNOWN           binary                       
click                   8.3.0             python                       
colorchoice             1.0.0             rust-crate                   
console                 0.15.8            rust-crate                   
coreutils               9.7-r1            apk                          
coreutils-env           9.7-r1            apk                          
coreutils-fmt           9.7-r1            apk                          
coreutils-sha512sum     9.7-r1            apk                          
crc                     3.3.0             rust-crate                   
crc-catalog             2.4.0             rust-crate                   
crossbeam               0.8.4             rust-crate                   
crossbeam-channel       0.5.14            rust-crate                   
crossbeam-deque         0.8.5             rust-crate                   
crossbeam-epoch         0.9.18            rust-crate                   
crossbeam-queue         0.3.11            rust-crate                   
crossbeam-utils         0.8.19            rust-crate                   
cryptography            46.0.3            python                       
curl                    8.14.1-r2         apk                          
dbus-libs               1.16.2-r1         apk                          
defusedxml              0.7.1             python                       
dolby_vision            3.3.1             rust-crate                   
either                  1.9.0             rust-crate                   
